Date : 2021-06-25 00:40:57
Directory : d:\mazen\Documents\myVsProjects\letScrum\LetScrum
Total : 252 files,  35883 codes, 669 comments, 1693 blanks, all 38245 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\components\btnchange                                                                                                      |          2 |         75 |          1 |          9 |         85 |
| src\components\card                                                                                                           |          1 |        116 |          1 |          6 |        123 |
| src\components\combo-box                                                                                                      |          2 |         52 |          5 |          4 |         61 |
| src\components\dialog                                                                                                         |          1 |        240 |          0 |         16 |        256 |
| src\components\footer                                                                                                         |          2 |        238 |          1 |          9 |        248 |
| src\components\form-input                                                                                                     |          2 |         35 |          0 |          4 |         39 |
| src\components\header                                                                                                         |          2 |        142 |          2 |         14 |        158 |
| src\components\image-slider                                                                                                   |          1 |        117 |          0 |          8 |        125 |
| src\components\product-backlog                                                                                                |          6 |        439 |         33 |         38 |        510 |
| src\components\project-container                                                                                              |          2 |        379 |         12 |         28 |        419 |
| src\components\scroll-to-top-button                                                                                           |          2 |         61 |          3 |          7 |         71 |
| src\components\side-bar                                                                                                       |          2 |        472 |         11 |         25 |        508 |
| src\components\sign-in                                                                                                        |          2 |        165 |          0 |          6 |        171 |
| src\components\sign-up                                                                                                        |          2 |        197 |          7 |         12 |        216 |
| src\components\sprint                                                                                                         |         22 |      2,436 |         63 |        108 |      2,607 |
| src\components\task                                                                                                           |          5 |        710 |         28 |         34 |        772 |
| src\components\todo                                                                                                           |          5 |        322 |          5 |         34 |        361 |
| src\components\user-story                                                                                                     |          7 |        761 |         26 |         37 |        824 |
| src\firebase                                                                                                                  |          1 |         39 |         23 |         11 |         73 |
| src\pages                                                                                                                     |         25 |      2,442 |        101 |        167 |      2,710 |
| src\pages\choose-project-page                                                                                                 |          1 |         14 |          0 |          2 |         16 |
| src\pages\create-project-page                                                                                                 |          2 |        272 |          1 |         22 |        295 |
| src\pages\education-page                                                                                                      |          2 |        232 |         11 |         23 |        266 |
| src\pages\home-page                                                                                                           |          2 |         81 |          1 |          6 |         88 |
| src\pages\join-project-page                                                                                                   |          2 |        146 |         31 |         20 |        197 |
| src\pages\landing-screen                                                                                                      |          2 |        328 |         12 |         13 |        353 |
| src\pages\pending-project                                                                                                     |          1 |         92 |          1 |          6 |         99 |
| src\pages\product-backlog                                                                                                     |          2 |        117 |         17 |          5 |        139 |
| src\pages\profile-page                                                                                                        |          1 |         18 |          0 |          3 |         21 |
| src\pages\project-detail-page                                                                                                 |          2 |        479 |         11 |         25 |        515 |
| src\pages\project-page                                                                                                        |          2 |        281 |          7 |         15 |        303 |
| src\pages\sideBar-page                                                                                                        |          1 |         17 |          0 |          3 |         20 |
| src\pages\signin-page                                                                                                         |          1 |         10 |          0 |          2 |         12 |
| src\pages\signup-page                                                                                                         |          1 |         12 |          3 |          2 |         17 |
| src\pages\waiting-room                                                                                                        |          3 |        343 |          6 |         20 |        369 |
| src\redux                                                                                                                     |          5 |         35 |          1 |          9 |         45 |
| src\redux\user                                                                                                                |          3 |         24 |          0 |          4 |         28 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                      | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\README.md                                                                   | Markdown         |         38 |          0 |         33 |         71 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\package-lock.json                                                           | JSON             |     18,072 |          0 |          1 |     18,073 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\package.json                                                                | JSON             |         68 |          0 |          1 |         69 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\public\index.html                                                           | HTML             |         23 |         35 |          2 |         60 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\public\manifest.json                                                        | JSON             |         25 |          0 |          1 |         26 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\App.css                                                                 | CSS              |         10 |          0 |          3 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\App.js                                                                  | JavaScript       |        135 |          1 |          8 |        144 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\StartFromTop.js                                                         | JavaScript       |          6 |          0 |          1 |          7 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\backlog.svg                                                | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\check.svg                                                  | XML              |         40 |          1 |          1 |         42 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\clipboard.svg                                              | XML              |          3 |          0 |          1 |          4 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\email.svg                                                  | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\google.svg                                                 | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\join.svg                                                   | XML              |         46 |          1 |          1 |         48 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\icons\sprint.svg                                                 | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\Login.svg                                                 | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\SignUp.svg                                                | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\checklist.svg                                             | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\create-project-image.svg                                  | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\create-project.svg                                        | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\detail.svg                                                | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\detailStory.svg                                           | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\done-sprint.svg                                           | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\join-team-image.svg                                       | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\learn-image.svg                                           | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\my-projects.svg                                           | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\nosprint.svg                                              | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\pending.svg                                               | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\productbacklog.svg                                        | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\trackProjects.svg                                         | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\images\two-in-one.svg                                            | XML              |          1 |          0 |          0 |          1 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\_hacks.scss                                                 | SCSS             |         15 |          7 |          5 |         27 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\_mixins.scss                                                | SCSS             |         40 |          2 |         10 |         52 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\_options.scss                                               | SCSS             |         24 |         10 |         10 |         44 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_backward.scss                       | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_bob.scss                            | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_bounce-in.scss                      | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_bounce-out.scss                     | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_buzz-out.scss                       | SCSS             |         43 |          1 |         12 |         56 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_buzz.scss                           | SCSS             |         19 |          1 |          4 |         24 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_float.scss                          | SCSS             |         11 |          1 |          2 |         14 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_forward.scss                        | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_grow-rotate.scss                    | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_grow.scss                           | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_hang.scss                           | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pop.scss                            | SCSS             |         16 |          1 |          3 |         20 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pulse-grow.scss                     | SCSS             |         17 |          1 |          3 |         21 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pulse-shrink.scss                   | SCSS             |         17 |          1 |          3 |         21 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_pulse.scss                          | SCSS             |         19 |          1 |          4 |         24 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_push.scss                           | SCSS             |         19 |          1 |          4 |         24 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_rotate.scss                         | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_shrink.scss                         | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_sink.scss                           | SCSS             |         11 |          1 |          2 |         14 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_skew-backward.scss                  | SCSS             |         11 |          1 |          2 |         14 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_skew-forward.scss                   | SCSS             |         11 |          1 |          2 |         14 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_skew.scss                           | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-bottom.scss                  | SCSS             |         32 |          1 |          8 |         41 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-horizontal.scss              | SCSS             |         31 |          1 |          8 |         40 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-skew.scss                    | SCSS             |         31 |          1 |          8 |         40 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-to-bottom-right.scss         | SCSS             |         31 |          1 |          8 |         40 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-to-top-right.scss            | SCSS             |         31 |          1 |          8 |         40 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-top.scss                     | SCSS             |         32 |          1 |          8 |         41 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\2d-transitions\_wobble-vertical.scss                | SCSS             |         31 |          1 |          8 |         40 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_back-pulse.scss             | SCSS             |         23 |          1 |          3 |         27 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-bottom.scss       | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-left.scss         | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-right.scss        | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_bounce-to-top.scss          | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_fade.scss                   | SCSS             |         12 |          1 |          2 |         15 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_radial-in.scss              | SCSS             |         31 |          1 |          4 |         36 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_radial-out.scss             | SCSS             |         31 |          1 |          4 |         36 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_rectangle-in.scss           | SCSS             |         29 |          1 |          4 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_rectangle-out.scss          | SCSS             |         29 |          1 |          4 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-in-horizontal.scss  | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-in-vertical.scss    | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-out-horizontal.scss | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-out-vertical.scss   | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-bottom.scss        | SCSS             |         29 |          1 |          4 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-left.scss          | SCSS             |         29 |          1 |          4 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-right.scss         | SCSS             |         29 |          1 |          4 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-top.scss           | SCSS             |         29 |          1 |          4 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_border-fade.scss                | SCSS             |         16 |          1 |          3 |         20 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_hollow.scss                     | SCSS             |         14 |          1 |          3 |         18 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_outline-in.scss                 | SCSS             |         28 |          1 |          4 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_outline-out.scss                | SCSS             |         25 |          1 |          4 |         30 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-from-center.scss       | SCSS             |         27 |          1 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-from-left.scss         | SCSS             |         26 |          1 |          5 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-from-right.scss        | SCSS             |         26 |          1 |          5 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-reveal.scss            | SCSS             |         27 |          1 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_reveal.scss                     | SCSS             |         29 |          1 |          5 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_ripple-in.scss                  | SCSS             |         31 |          1 |          5 |         37 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_ripple-out.scss                 | SCSS             |         30 |          1 |          5 |         36 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_round-corners.scss              | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_trim.scss                       | SCSS             |         23 |          1 |          4 |         28 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-center.scss      | SCSS             |         27 |          1 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-center2.scss     | SCSS             |         27 |          1 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-left.scss        | SCSS             |         26 |          1 |          5 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-right.scss       | SCSS             |         26 |          1 |          5 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-reveal.scss           | SCSS             |         27 |          1 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-bottom-left.scss                        | SCSS             |         30 |          1 |          3 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-bottom-right.scss                       | SCSS             |         30 |          1 |          3 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-top-left.scss                           | SCSS             |         32 |          1 |          4 |         37 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-top-right.scss                          | SCSS             |         30 |          1 |          3 |         34 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-back.scss                               | SCSS             |         17 |          1 |          4 |         22 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-bob.scss                                | SCSS             |         36 |          1 |          6 |         43 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-bounce-out.scss                         | SCSS             |         23 |          1 |          5 |         29 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-bounce.scss                             | SCSS             |         18 |          1 |          5 |         24 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-buzz-out.scss                           | SCSS             |         49 |          1 |         14 |         64 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-buzz.scss                               | SCSS             |         25 |          1 |          6 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-down.scss                               | SCSS             |         26 |          2 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-drop.scss                               | SCSS             |         33 |          2 |          8 |         43 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-fade.scss                               | SCSS             |         15 |          1 |          4 |         20 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-float-away.scss                         | SCSS             |         25 |          2 |          6 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-float.scss                              | SCSS             |         17 |          1 |          4 |         22 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-forward.scss                            | SCSS             |         17 |          1 |          4 |         22 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-grow-rotate.scss                        | SCSS             |         18 |          1 |          5 |         24 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-grow.scss                               | SCSS             |         17 |          1 |          4 |         22 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-hang.scss                               | SCSS             |         36 |          1 |          6 |         43 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pop.scss                                | SCSS             |         25 |          1 |          5 |         31 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pulse-grow.scss                         | SCSS             |         23 |          1 |          5 |         29 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pulse-shrink.scss                       | SCSS             |         23 |          1 |          5 |         29 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-pulse.scss                              | SCSS             |         25 |          1 |          6 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-push.scss                               | SCSS             |         25 |          1 |          5 |         31 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-rotate.scss                             | SCSS             |         18 |          1 |          5 |         24 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-shrink.scss                             | SCSS             |         17 |          1 |          4 |         22 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-sink-away.scss                          | SCSS             |         25 |          2 |          6 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-sink.scss                               | SCSS             |         17 |          1 |          4 |         22 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-spin.scss                               | SCSS             |         15 |          1 |          4 |         20 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-up.scss                                 | SCSS             |         26 |          2 |          5 |         33 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-wobble-horizontal.scss                  | SCSS             |         37 |          1 |         10 |         48 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-wobble-vertical.scss                    | SCSS             |         37 |          1 |         10 |         48 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_box-shadow-inset.scss  | SCSS             |         13 |          1 |          3 |         17 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_box-shadow-outset.scss | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_float-shadow.scss      | SCSS             |         30 |          1 |          4 |         35 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_glow.scss              | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_grow-shadow.scss       | SCSS             |         11 |          1 |          2 |         14 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_shadow-radial.scss     | SCSS             |         36 |          1 |          5 |         42 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\shadow-and-glow-transitions\_shadow.scss            | SCSS             |         10 |          1 |          2 |         13 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-bottom.scss                  | SCSS             |         22 |          1 |          3 |         26 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-bottom.scss            | SCSS             |         26 |          1 |          4 |         31 |
